id,lat,lng,YO,MO,DO,TIME,DETAIL
152,-122.417521854,37.755757119,2008,12,1,89,Building_residential - Offensive
153,-122.418911734562,37.757879242373,2008,12,1,42,Building_residential - Offensive
154,-122.418279508,37.758569451,2008,12,1,4,Building_residential - Offensive
155,-122.420747906,37.760031817,2008,12,3,5,Building_commercial - Not_Offensive
156,-122.419067698329,37.759514978694,2008,12,3,96,Building_commercial - Not_Offensive
157,-122.41904415076,37.75926899969,2008,12,3,16,Building_commercial - Not_Offensive
158,-122.419057878,37.762382419,2008,12,6,116,Building_other - Not_Offensive
159,-122.419193895566,37.75938366403,2008,12,7,2,Pole - Not_Offensive
160,-122.41905270146,37.7586326659361,2008,12,7,33,Pole - Not_Offensive
161,-122.419106574469,37.758470152226,2008,12,7,92,Building_residential - Not_Offensive
162,-122.419359315196,37.7618358043403,2008,12,7,2,Pole - Not_Offensive
163,-122.41905270146,37.7586326659361,2008,12,7,7,Building_residential - Not_Offensive
164,-122.418679177,37.758437411,2008,12,7,5,Building_commercial - Not_Offensive
165,-122.41905270146,37.7586326659361,2008,12,8,134,Building_other - Not_Offensive
166,-122.419270986559,37.761638472217,2008,12,8,97,Building_other - Not_Offensive
167,-122.419250410727,37.761423547976,2008,12,8,4,Building_other - Not_Offensive
168,-122.419206209871,37.7602354682392,2008,12,8,1,Pole - Not_Offensive
169,-122.419206209871,37.7602354682392,2008,12,8,2,Pole - Not_Offensive
170,-122.419470488318,37.762270160269,2008,12,8,57,Building_commercial - Not_Offensive
171,-122.41905270146,37.7586326659361,2008,12,8,34,News_rack - Not_Offensive
172,-122.419464380493,37.762206745543,2008,12,8,10,Building_commercial - Not_Offensive
173,-122.419464380493,37.762206745543,2008,12,8,4,Sidewalk_in_front_of_property - Not_Offensive
174,-122.419433841594,37.761889671925,2008,12,8,19,Parking_meter - Not_Offensive
175,-122.419433841594,37.761889671925,2008,12,8,91,Building_commercial - Not_Offensive
176,-122.419703171,37.762448824,2008,12,8,91,Building_other - Not_Offensive
177,-122.4194735422,37.762301867618,2008,12,8,10,Building_other - Not_Offensive
178,-122.418418190485,37.758615785619,2008,12,8,82,Building_residential - Not_Offensive
179,-122.42067573,37.76245935,2008,12,8,11,Building_residential - Not_Offensive
180,-122.419359315196,37.7618358043403,2008,12,8,121,Building_commercial - Not_Offensive
181,-122.419206209871,37.7602354682392,2008,12,8,4,Pole - Not_Offensive
182,-122.419206209871,37.7602354682392,2008,12,8,35,Pay_phone - Not_Offensive
183,-122.41913245488,37.760191420931,2008,12,8,12,Building_other - Not_Offensive
184,-122.418901070709,37.7570353263749,2008,12,8,4,Pole - Not_Offensive
185,-122.418118004294,37.7603009794387,2008,12,8,4,Mail_box - Not_Offensive
186,-122.420808863,37.759713004,2008,12,9,1,Building_residential - Post_Abatement_Inspection
187,-122.419306709,37.758152501,2008,12,9,90,Building_commercial - Post_Abatement_Inspection
188,-122.417025660716,37.760367097249,2008,12,10,34,Building_commercial - Not_Offensive
189,-122.419470488318,37.762270160269,2008,12,11,16,Parking_meter - Not_Offensive
